~iteration~,low
0,0
9,0
18,0
27,0
36,0
45,0
54,0
63,0
72,0
81,0
90,0
99,0
108,0
117,0
126,0
135,0
144,0
153,0
162,0
171,0
180,0
189,0
198,0
207,0
216,0
225,0
234,0
243,0
252,0
261,0
270,0
279,0
288,0
297,0
306,0
315,0
324,0
333,0
342,0
351,0
360,0
369,0
378,0
387,0
396,0
405,0
414,0
423,0
432,0
441,0
450,0
459,0
468,0
477,0
486,0
495,0
504,0
513,0
522,0
531,0
540,0
549,0
558,0
567,0
576,0
585,0
594,0
603,0
612,0
621,0
630,0
639,0
648,0
657,0
666,0
675,0
684,0
693,0
702,0
711,0
720,0
729,0
738,0
747,0
756,0
765,0
774,0
783,0
792,0
801,0
810,0
819,0
828,0
837,0
846,0
855,0
864,0
873,0
882,0
891,0
900,0
909,0
918,0
927,0
936,0
945,0
954,0
963,0
972,0
981,0
990,0
999,0
1008,0
1017,0
1026,0
1035,0
1044,0
1053,0
1062,0
1071,0
1080,0
1089,0
1098,0
1107,0
1116,0
1125,0
1134,0
1143,0
1152,0
1161,0
1170,0
1179,0
1188,0
1197,0
1206,0
1215,0
1224,0
1233,0
1242,0
1251,0
1260,0
1269,0
1278,0
1287,0
1296,0
1305,0
1314,0
1323,0
1332,0
1341,0
1350,0
1359,0
1368,0
1377,0
1386,0
1395,0
1404,0
1413,0
1422,0
1431,0
1440,0
1449,0
1458,0
1467,0
1476,0
1485,0
1494,0
1503,0
1512,0
1521,0
1530,0
1539,0
1548,0
1557,0
1566,0
1575,0
1584,0
1593,0
1602,0
1611,0
1620,0
1629,0
1638,0
1647,0
1656,0
1665,0
1674,0
1683,0
1692,0
1701,0
1710,0
1719,0
1728,0
1737,0
1746,0
1755,0
1764,0
1773,0
1782,0
1791,0
1800,0
1809,0
1818,0
1827,0
1836,0
1845,0
1854,0
1863,0
1872,0
1881,0
1890,0
1899,0
1908,0
1917,0
1926,0
1935,0
1944,0
1953,0
1962,0
1971,0
1980,0
1989,0
1998,0
2007,0
2016,0
2025,0
2034,0
2043,0
2052,0
2061,0
2070,0
2079,0
2088,0
2097,0
2106,0
2115,0
2124,0
2133,0
2142,0
2151,0
2160,0
2169,0
2178,0
2187,0
2196,0
2205,0
2214,0
2223,0
2232,0
2241,0
2250,0
2259,0
2268,0
2277,0
2286,0
2295,0
2304,0
2313,0
2322,0
2331,0
2340,0
2349,0
2358,0
2367,0
2376,0
2385,0
2394,0
2403,0
2412,0
2421,0
2430,0
2439,0
2448,0
2457,0
2466,0
2475,0
2484,0
2493,0
2502,0
2511,0
2520,0
2529,0
2538,0
2547,0
2556,0
2565,0
2574,0
2583,0
2592,0
2601,0
2610,0
2619,0
2628,0
2637,0
2646,0
2655,0
2664,0
2673,0
2682,0
2691,0
2700,0
2709,0
2718,0
2727,0
2736,0
2745,0
2754,0
2763,0
2772,0
2781,0
2790,0
2799,0
2808,0
2817,0
2826,0
2835,0
2844,0
2853,0
2862,0
2871,0
2880,0
2889,0
2898,0
2907,0
2916,0
2925,0
2934,0
2943,0
2952,0
2961,0
2970,0
2979,0
2988,0
2997,0
3006,0
3015,0
3024,0
3033,0
3042,0
3051,0
3060,0
3069,0
3078,0
3087,0
3096,0
3105,0
3114,0
3123,0
3132,0
3141,0
3150,0
3159,0
3168,0
3177,0
3186,0
3195,0
3204,0
3213,0
3222,0
3231,0
3240,0
3249,0
3258,0
3267,0
3276,0
3285,0
3294,0
3303,0
3312,0
3321,0
3330,0
3339,0
3348,0
3357,0
3366,0
3375,0
3384,0
3393,0
3402,0
3411,0
3420,0
3429,0
3438,0
3447,0
3456,0
3465,0
3474,0
3483,0
3492,0
3501,0
3510,0
3519,0
3528,0
3537,0
3546,0
3555,0
3564,0
3573,0
3582,0
3591,0
