~iteration~,margin
0,0.1
7,0.1
14,0.1
21,0.1
28,0.1
35,0.1
42,0.1
49,0.1
56,0.1
63,0.1
70,0.1
77,0.1
84,0.1
91,0.1
98,0.1
105,0.1
112,0.1
119,0.1
126,0.1
133,0.1
140,0.1
147,0.1
154,0.1
161,0.1
168,0.1
175,0.1
182,0.1
189,0.1
196,0.1
203,0.1
210,0.1
217,0.1
224,0.1
231,0.1
238,0.1
245,0.1
252,0.1
259,0.1
266,0.1
273,0.1
280,0.1
287,0.1
294,0.1
301,0.1
308,0.1
315,0.1
322,0.1
329,0.1
336,0.1
343,0.1
350,0.1
357,0.1
364,0.1
371,0.1
378,0.1
385,0.1
392,0.1
399,0.1
406,0.1
413,0.1
420,0.1
427,0.1
434,0.1
441,0.1
448,0.1
455,0.1
462,0.1
469,0.1
476,0.1
483,0.1
490,0.1
497,0.1
504,0.1
511,0.1
518,0.1
525,0.1
532,0.1
539,0.1
546,0.1
553,0.1
560,0.1
567,0.1
574,0.1
581,0.1
588,0.1
595,0.1
602,0.1
609,0.1
616,0.1
623,0.1
630,0.1
637,0.1
644,0.1
651,0.1
658,0.1
665,0.1
672,0.1
679,0.1
686,0.1
693,0.1
700,0.1
707,0.1
714,0.1
721,0.1
728,0.1
735,0.1
742,0.1
749,0.1
756,0.1
763,0.1
770,0.1
777,0.1
784,0.1
791,0.1
798,0.1
805,0.1
812,0.1
819,0.1
826,0.1
833,0.1
840,0.1
847,0.1
854,0.1
861,0.1
868,0.1
875,0.1
882,0.1
889,0.1
896,0.1
903,0.1
910,0.1
917,0.1
924,0.1
931,0.1
938,0.1
945,0.1
952,0.1
959,0.1
966,0.1
973,0.1
980,0.1
987,0.1
994,0.1
1001,0.1
1008,0.1
1015,0.1
1022,0.1
1029,0.1
1036,0.1
1043,0.1
1050,0.1
1057,0.1
1064,0.1
1071,0.1
1078,0.1
1085,0.1
1092,0.1
1099,0.1
1106,0.1
1113,0.1
1120,0.1
1127,0.1
1134,0.1
1141,0.1
1148,0.1
1155,0.1
1162,0.1
1169,0.1
1176,0.1
1183,0.1
1190,0.1
1197,0.1
1204,0.1
1211,0.1
1218,0.1
1225,0.1
1232,0.1
1239,0.1
1246,0.1
1253,0.1
1260,0.1
1267,0.1
1274,0.1
1281,0.1
1288,0.1
1295,0.1
1302,0.1
1309,0.1
1316,0.1
1323,0.1
1330,0.1
1337,0.1
1344,0.1
1351,0.1
1358,0.1
1365,0.1
1372,0.1
1379,0.1
1386,0.1
1393,0.1
1400,0.1
1407,0.1
1414,0.1
1421,0.1
1428,0.1
1435,0.1
1442,0.1
1449,0.1
1456,0.1
1463,0.1
1470,0.1
1477,0.1
1484,0.1
1491,0.1
1498,0.1
1505,0.1
1512,0.1
1519,0.1
1526,0.1
1533,0.1
1540,0.1
1547,0.1
1554,0.1
1561,0.1
1568,0.1
1575,0.1
1582,0.1
1589,0.1
1596,0.1
1603,0.1
1610,0.1
1617,0.1
1624,0.1
1631,0.1
1638,0.1
1645,0.1
1652,0.1
1659,0.1
1666,0.1
1673,0.1
1680,0.1
1687,0.1
1694,0.1
1701,0.1
1708,0.1
1715,0.1
1722,0.1
1729,0.1
1736,0.1
1743,0.1
1750,0.1
1757,0.1
1764,0.1
1771,0.1
1778,0.1
1785,0.1
1792,0.1
1799,0.1
1806,0.1
1813,0.1
1820,0.1
1827,0.1
1834,0.1
1841,0.1
1848,0.1
1855,0.1
1862,0.1
1869,0.1
1876,0.1
1883,0.1
1890,0.1
1897,0.1
1904,0.1
1911,0.1
1918,0.1
1925,0.1
1932,0.1
1939,0.1
1946,0.1
1953,0.1
1960,0.1
1967,0.1
1974,0.1
1981,0.1
1988,0.1
1995,0.1
2002,0.1
2009,0.1
2016,0.1
2023,0.1
2030,0.1
2037,0.1
2044,0.1
2051,0.1
2058,0.1
2065,0.1
2072,0.1
2079,0.1
2086,0.1
2093,0.1
2100,0.1
2107,0.1
2114,0.1
2121,0.1
2128,0.1
2135,0.1
2142,0.1
2149,0.1
2156,0.1
2163,0.1
2170,0.1
2177,0.1
2184,0.1
2191,0.1
2198,0.1
2205,0.1
2212,0.1
2219,0.1
2226,0.1
2233,0.1
2240,0.1
2247,0.1
2254,0.1
2261,0.1
2268,0.1
2275,0.1
2282,0.1
2289,0.1
2296,0.1
2303,0.1
2310,0.1
2317,0.1
2324,0.1
2331,0.1
2338,0.1
2345,0.1
2352,0.1
2359,0.1
2366,0.1
2373,0.1
2380,0.1
2387,0.1
2394,0.1
2401,0.1
2408,0.1
2415,0.1
2422,0.1
2429,0.1
2436,0.1
2443,0.1
2450,0.1
2457,0.1
2464,0.1
2471,0.1
2478,0.1
2485,0.1
2492,0.1
2499,0.1
2506,0.1
2513,0.1
2520,0.1
2527,0.1
2534,0.1
2541,0.1
2548,0.1
2555,0.1
2562,0.1
2569,0.1
2576,0.1
2583,0.1
2590,0.1
2597,0.1
2604,0.1
2611,0.1
2618,0.1
2625,0.1
2632,0.1
2639,0.1
2646,0.1
2653,0.1
2660,0.1
2667,0.1
2674,0.1
2681,0.1
2688,0.1
2695,0.1
2702,0.1
2709,0.1
2716,0.1
2723,0.1
2730,0.1
2737,0.1
2744,0.1
2751,0.1
2758,0.1
2765,0.1
2772,0.1
2779,0.1
2786,0.1
2793,0.1
